AGE,GENDER,COUNTRY_WORKING_IN,WFH
39,Woman,United States of America,Sometimes
29,Female,United States of America,Always
29,female,United States of America,Always
63,Male,United States of America,Sometimes
45,male,Australia,Never
35,m,Greece,Always
32,Male,United Kingdom,Always
44,Male,United States of America,Always
28,Queer,United Kingdom,Never
39,male,Ireland,Sometimes
55,female,United States of America,Sometimes
33,female,United States of America,Sometimes
19,Male,India,Always
40,Male,United States of America,Always
49,F,United States of America,Sometimes
27,Female,Australia,Sometimes
39,male,United States of America,Never
35,Male,United Kingdom,Never
35,M,United States of America,Sometimes
42,female,United States of America,Sometimes
35,Male,Canada,Sometimes
31,female,United States of America,Sometimes
44,Male ,United Kingdom,Always
39,Male,United States of America,Sometimes
32,Male,Canada,Always
45,m,New Zealand,Sometimes
31,m,United States of America,Sometimes
47,Female,United States of America,Sometimes
29,M,United States of America,Sometimes
20,Male,United States of America,Always
34,m,United States of America,Never
33,Agender,United Kingdom,Never
56,female,United States of America,Always
35,Male,Canada,Sometimes
31,m,United States of America,Sometimes
36,Male,United States of America,Sometimes
30,Male,United States of America,Always
44,F,United States of America,Never
23,Female,United States of America,Sometimes
46,Male,United States of America,Never
33,female,United States of America,Always
32,female,United States of America,Never
45,Male,Other,Sometimes
26,male,United States of America,Sometimes
32,Woman,United States of America,Always
28,Dude,United States of America,Sometimes
44,M,United States of America,Sometimes
42,Male,United Kingdom,Always
30,Male,United States of America,Sometimes
28,F,United States of America,Sometimes
31,M,Canada,Always
29,male,United States of America,Sometimes
33,Male,United States of America,Sometimes
43,female,United States of America,Always
28,Male,Australia,Always
42,Fluid,United States of America,Always
38,Male,United States of America,Always
30,Male,United States of America,Sometimes
51,female,United States of America,Sometimes
48,F,United States of America,Never
39,Male,New Zealand,Always
28,Male,Australia,Sometimes
37,Male,United States of America,Always
33,Male,United States of America,Sometimes
21,Male,Australia,Never
25,male,United States of America,Sometimes
15,male,Canada,Sometimes
40,Male,United States of America,Always
30,Female,Canada,Sometimes
27,Male,Romania,Always
25,male,India,Never
38,Male,Germany,Sometimes
24,Male,United Kingdom,Never
23,Male,United Kingdom,Never
39,Female,United Kingdom,Always
26,male,United States of America,Sometimes
43,Male,United Kingdom,Never
30,Male,New Zealand,Always
35,Male,Germany,Always
40,M,United Kingdom,Sometimes
33,Female,United Kingdom,Never
35,male,Brunei,Sometimes
22,Male,United Kingdom,Never
28,Male,United States of America,Always
39,M,United States of America,Sometimes
33,M,United States of America,Always
25,Female,United Kingdom,Always
37,Male,United States of America,Sometimes
41,f,France,Never
30,Female,United States of America,Sometimes
42,Male,United States of America,Sometimes
52,Male,United States of America,Sometimes
30,male,United States of America,Always
35,Male,United States of America,Sometimes
24,Male,United States of America,Sometimes
39,Male,United States of America,Sometimes
34,Male,United States of America,Sometimes
32,Male,United States of America,Always
25,I'm a man why didn't you make this a drop down question. You should of asked sex? And I would of answered yes please. Seriously how much text can this take? ,United Kingdom,Sometimes
43,Male,Poland,Never
39,male,United States of America,Sometimes
35,Male,United States of America,Always
34,Male,United States of America,Sometimes
38,Male,United Kingdom,Sometimes
26,woman,United States of America,Always
24,male,Bulgaria,Sometimes
27,Female,United States of America,Sometimes
25,male,United States of America,Never
37,m,United States of America,Sometimes
33,Male,Canada,Sometimes
34,Male,United States of America,Sometimes
27,Male,Canada,Sometimes
33,Male,United States of America,Sometimes
50,mail,United States of America,Sometimes
54,female,United States of America,Sometimes
32,female ,Canada,Sometimes
39,m,Canada,Sometimes
36,Male,United States of America,Sometimes
34,Male,Canada,Sometimes
31,female,United States of America,Sometimes
36,male,United States of America,Never
48,Male,United States of America,Sometimes
31,male,United States of America,Never
32,M,United States of America,Always
32,M,United States of America,Always
31,male,United States of America,Always
28,Female,United States of America,Sometimes
28,male,United Kingdom,Never
33,F,United States of America,Sometimes
33,M,United States of America,Never
59,M,United States of America,Always
33,male,United States of America,Sometimes
37,Male,United States of America,Always
27,female,Germany,Always
39,Male,United States of America,Always
50,M,Germany,Sometimes
34,Female,United States of America,Never
